,1,image_path,spotify_track_url,track_name,artist,spotify_artist_url,album_name,spotify_album_url,2,song_length
29,511,https://i.scdn.co/image/ab67616d0000485132e8c967ebb2f5930f91b5b3,https://open.spotify.com/track/0mve4vxmwumqI6gnw7euma,No Air,THE BOYZ,https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ 3rd MINI ALBUM [THE ONLY],https://open.spotify.com/album/0OQZQq2066KZgauv3M24CK,"Feb 17, 2024",4:04
30,512,https://i.scdn.co/image/ab67616d000048513ea369ee99ae2fb732fa92d9,https://open.spotify.com/track/7tlGwysecWPnIwtt6Jq8cz,Bloom Bloom,THE BOYZ,https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ 2nd Single Album [Bloom Bloom],https://open.spotify.com/album/6fUQr4b40KL9qwRdMPopnS,"Feb 17, 2024",3:44
31,513,https://i.scdn.co/image/ab67616d0000485123bd8b27aeb3ad6d4f4339c4,https://open.spotify.com/track/3NkkcnnKrNHv4AiGaPdD76,Energetic,Wanna One,https://open.spotify.com/artist/2CvaqAMMsX576VBehaJ0Wx,1-1=0 (NOTHING WITHOUT YOU),https://open.spotify.com/album/0fxMTiQG9ym37gYmIXgqG8,"Feb 17, 2024",3:09
32,514,https://i.scdn.co/image/ab67616d000048510c7b7c7d71d4375f812dec63,https://open.spotify.com/track/5Y7a8iWIawp1QTbevGeH1V,DIFFERENT,WOODZ,https://open.spotify.com/artist/6y9nlaoynxSvoTGY09Vdcy,DIFFERENT,https://open.spotify.com/album/56S7zetVLAz7xC5GrmOld3,"Feb 17, 2024",3:42
33,515,https://i.scdn.co/image/ab67616d0000485175fa760a42e6b59ea7aab35f,https://open.spotify.com/track/3cXrEtupWA5pTt3i0q3XG6,FLASH,X1,https://open.spotify.com/artist/6C4irZ60X8G7UimMRQiCcg,QUANTUM LEAP,https://open.spotify.com/album/3zgalFg8VBaUSHKeLBVGun,"Feb 17, 2024",3:31
34,516,https://i.scdn.co/image/ab67616d000048511c40bbf52c8932a047530509,https://open.spotify.com/track/0nBubVVpnTgA5y5ExFkjeu,PICK ME,PRODUCE 101,https://open.spotify.com/artist/2iTBqSiPjYYns3Ta0Ohzrs,PRODUCE 101 - PICK ME,https://open.spotify.com/album/0d0lqvI3oVXQxJRckzv7KM,"Feb 17, 2024",3:46
35,517,https://i.scdn.co/image/ab67616d0000485124f9ba64227d5305b4594101,https://open.spotify.com/track/7aZNzeskYfEkMi20u6rDRu,PICK ME,PRODUCE 48,https://open.spotify.com/artist/5ORE0ElD7HiONogJZzhKrS,PRODUCE 48 - NEKKOYA (PICK ME),https://open.spotify.com/album/40IMz8yM28MetUJW3AsYTd,"Feb 17, 2024",4:39
36,518,https://i.scdn.co/image/ab67616d00004851679d960f68492932541a032e,https://open.spotify.com/track/2qiWQf7ka0C4XoA7JAZ1q5,CRUSH,ZEROBASEONE,https://open.spotify.com/artist/7cjg7EkeZy3OI5o9Qthc6n,MELTING POINT,https://open.spotify.com/album/5XHHcWUt6zy1nkbzt707ys,"Feb 17, 2024",2:49
37,519,https://i.scdn.co/image/ab67616d000048519b77c9ed81f97820f77b9c0b,https://open.spotify.com/track/5ZMbkW9TYzmKyod6FCIS4Q,Here I Am,BOYS PLANET,https://open.spotify.com/artist/49pGKUCSjzaCfv8gdTWG98,BOYS PLANET - Here I Am,https://open.spotify.com/album/3qaFHMGRbufnBob2fGNKkc,"Feb 17, 2024",4:04
38,520,https://i.scdn.co/image/ab67616d00004851cc6da3e848ce6917e9b1536d,https://open.spotify.com/track/1q2bu7PaEUUiFJYFsAiHiz,ICE AGE,MCND,https://open.spotify.com/artist/59dDRtMe8DILtibke8FWLK,into the ICE AGE,https://open.spotify.com/album/2N9Y7kFSctM8v4T4G2uYWo,"Feb 17, 2024",3:10
39,521,https://i.scdn.co/image/ab67616d00004851674f692fd1a34630b818b39b,https://open.spotify.com/track/2jL9sjFc2LZsQBGbQnrjXR,Time for the moon night,GFRIEND,https://open.spotify.com/artist/0qlWcS66ohOIi0M8JZwPft,GFRIEND The 6th Mini Album <Time for the moon night>,https://open.spotify.com/album/4YkF0cmnD2nmzdpLk1ZUUP,"Feb 17, 2024",3:46
40,522,https://i.scdn.co/image/ab67616d0000485193f063bd7b14993d5ffb9287,https://open.spotify.com/track/2Oi0IO8K4BEbhPUdWcjNmv,NAVILLERA,GFRIEND,https://open.spotify.com/artist/0qlWcS66ohOIi0M8JZwPft,GFRIEND The 1st Album 'LOL',https://open.spotify.com/album/0PlSM2Hml1cFANnzYu6RCg,"Feb 17, 2024",3:13
41,523,https://i.scdn.co/image/ab67616d00004851923605728359221e72730a12,https://open.spotify.com/track/1xwnvVY9gHdo69PuGQkG1U,LOVE WHISPER,GFRIEND,https://open.spotify.com/artist/0qlWcS66ohOIi0M8JZwPft,GFRIEND The 5th Mini Album <PARALLEL>,https://open.spotify.com/album/2cGPXPXZxEBr6LniuA3ewf,"Feb 17, 2024",3:31
42,524,https://i.scdn.co/image/ab67616d000048513f9deca2f7f10f28b5abcdd0,https://open.spotify.com/track/55kuHkT2CWhWKF6CoRDnJq,Dumhdurum,Apink,https://open.spotify.com/artist/2uWcrwgWmZcQc3IPBs3tfU,LOOK,https://open.spotify.com/album/49NKBZDb92AQlMFypkZRTF,"Feb 17, 2024",3:28
43,525,https://i.scdn.co/image/ab67616d000048510b1f5b8d0f8cb48dbc423491,https://open.spotify.com/track/6oZee3RwM7GHykYHZeb7GT,I'm so sick,Apink,https://open.spotify.com/artist/2uWcrwgWmZcQc3IPBs3tfU,ONE & SIX,https://open.spotify.com/album/6XrOYOghCOtUlWYXxB4cAm,"Feb 17, 2024",3:19
44,526,https://i.scdn.co/image/ab67616d00004851da7fe0b01f25c675433399d9,https://open.spotify.com/track/5SusX17QvBBkH7WfMbTU0j,NoNoNo,Apink,https://open.spotify.com/artist/2uWcrwgWmZcQc3IPBs3tfU,Secret Garden,https://open.spotify.com/album/03GKVqpdr6Fi24DeAbgDRs,"Feb 17, 2024",3:40
45,527,https://i.scdn.co/image/ab67616d0000485133ba381e09736459efed6333,https://open.spotify.com/track/4SpQDJz1JiRT2mHxvyqN9K,%%(Eung Eung),Apink,https://open.spotify.com/artist/2uWcrwgWmZcQc3IPBs3tfU,PERCENT,https://open.spotify.com/album/51rmA7KGsWZP0lbP986qSJ,"Feb 17, 2024",3:28
46,528,https://i.scdn.co/image/ab67616d00004851a0f8219db51b71133b2f56f4,https://open.spotify.com/track/7EZ79Zl4XsPS320q0KXC6E,LUV,Apink,https://open.spotify.com/artist/2uWcrwgWmZcQc3IPBs3tfU,Pink LUV,https://open.spotify.com/album/7BV2JxBA453SWGGe6ije4K,"Feb 17, 2024",3:58
47,529,https://i.scdn.co/image/ab67616d0000485134502019848694081933092d,https://open.spotify.com/track/396Dkg9z5Q1hXxKryeP9T8,Oh! my mistake,APRIL,https://open.spotify.com/artist/4cJ99wTjC60pXcfyISL9fa,APRIL 6th Mini Album 'the Ruby',https://open.spotify.com/album/6UOBloGQtXOHiAMjJm2LD5,"Feb 17, 2024",3:25
48,530,https://i.scdn.co/image/ab67616d00004851f24273de181c40800f143742,https://open.spotify.com/track/3FNuG1PjKcOu7tAqZKB4kZ,BOP BOP!,VIVIZ,https://open.spotify.com/artist/7Lq3yAtwi0Z7zpxEwbQQNZ,The 1st Mini Album 'Beam Of Prism',https://open.spotify.com/album/1SO45pKRdNI74Rdx7Hynh2,"Feb 17, 2024",3:39
